patient_id,first_name,last_name,date_of_birth,age,gender,aadhaar_number,pan_number,passport_number,passport_expiry,drivers_license,visa_type,email,phone_number,emergency_contact,address,pincode,credit_card_number,credit_card_provider,bank_account_number,ifsc_code,swift_code,upi_id,medical_record_number,diagnosis,medication_list,blood_type,hospital_name,insurance_provider,policy_number,last_visit_date,department,treatment_status,height_cm,weight_kg,bmi,blood_pressure,visit_count,appointment_duration_mins,preferred_language,occupation,registration_date,last_payment_amount,consultation_fee,follow_up_required,next_appointment_due,regular_checkup
INPH0001,Osha,Baria,1986-12-11,38,Female,613766576343,DMVLF1431G,D8173704,2033-07-03,DL51124602227,Medical Visa,yasti76@example.com,+91 6457956908,+91 9167224780,"59, Thaman Ganj, Jaipur, Rajasthan, India - 421948",411578,2286593877840806,Mastercard,XMWZ0975351393328,EOUC409658,CCKQGB5GT9S,natarajansamar@gpay,MRN000001,Iron Deficiency Anemia,"Metformin 500mg, Pantoprazole 40mg",O+,Medanta The Medicity,Max Bupa Health,1LSJFVAKD6,2025-01-17,Neurology,Completed,165,89,25.4,133/60 mmHg,20,15,Hindi and Regional Language,Civil Services Officer,2023-06-08,₹37449.62,₹750,Yes,Yes,Quarterly
INPH0002,Sai,Chand,1973-08-30,51,Female,773470732261,SXODK2345U,B3722126,2028-07-02,MP50074621513,Employment Visa,knadig@example.org,+91 6397215651,+91 7280188472,"H.No. 23, Bali Street, Kolkata, Telangana, India - 711220",868483,4947751591791,VISA 16 digit,KGHA4135256012309,MFXP588734,ADUGGBHZ,prabhakarjack@phonepe,MRN000002,Bronchial Asthma,Azithromycin 500mg,O+,Manipal Hospitals,Max Bupa Health,NAFX9IMGRU,2024-08-05,Dental Care,On Hold,154,63,31.9,130/66 mmHg,18,30,Hindi and Regional Language,Government Officer,2020-10-21,₹13898.08,₹500,Yes,No,Monthly
INPH0003,Anthony,Hayer,1939-06-20,86,Male,141705722842,DOQXE1586K,K5926718,2030-11-16,KL25138912617,Student Visa,jatinsrinivas@example.org,+91 6578766140,+91 6983853962,"00/869, Lad Zila, Bangalore, Delhi, India - 314562",870916,4579230225848,Mastercard,TOVF0769845642807,XIWC435774,KXBRGBRI,vasatikapandey@gpay,MRN000003,Type 2 Diabetes,"Aspirin 75mg, Pantoprazole 40mg, Montelukast 10mg",O-,Narayana Health City,Bajaj Allianz Health,WWELDNXKMS,2025-06-23,Ophthalmology,On Hold,174,88,26.2,121/83 mmHg,19,15,English,School Teacher,2020-08-08,₹9477.1,₹1000,No,Yes,Quarterly
INPH0004,Jagrati,Deo,1973-09-10,51,Female,181304347098,UUOIP6546Z,L5759439,2033-07-28,MP70225492367,Student Visa,lipika61@example.org,+91 6625815057,+91 7269958838,"35/23, Sem Ganj, Jaipur, Haryana, India - 960696",271427,180089007547065,VISA 13 digit,RUCX2066503008913,DECP919110,TUGJGBRL,sonimekhala@phonepe,MRN000004,Hypertension,"Paracetamol 500mg, Metformin 500mg, Aspirin 75mg",A+,Fortis Healthcare Center,Max Bupa Health,8SJG85JZ34,2025-01-01,Pediatrics,Active,156,62,30.0,153/72 mmHg,12,15,Both English and Hindi,Business Analyst,2023-08-22,₹37756.56,₹750,Yes,Yes,Quarterly
INPH0005,Anthony,Maharaj,1945-08-01,79,Female,974488708873,PWPBF6026X,C5274629,2033-11-10,WB10037234893,Work Visa,qdalia@example.org,+91 9576971619,+91 9981103351,"85/124, Basak Nagar, Kolkata, Kerala, India - 348559",977658,4694022455515905,Maestro,IFES4568241730428,ZVEP611663,JMKJGB0G,srivastavaurvi@gpay,MRN000005,Hypertension,"Montelukast 10mg, Telmisartan 40mg",AB-,AIIMS Hospital,Bajaj Allianz Health,ALKXAH4LAQ,2024-08-11,Dental Care,Scheduled for Review,158,46,19.2,110/60 mmHg,13,45,"English, Hindi and Regional Language",Software Engineer,2023-08-18,₹29763.15,₹1500,Yes,No,Yearly
INPH0006,Hemal,Dash,1980-05-22,45,Female,377316375911,WGIYQ1540K,H1455087,2032-04-09,KA97070148113,Tourist Visa,sdalia@example.com,+91 7238608312,+91 9332966473,"04, Dugal Path, Kolkata, Karnataka, India - 961113",060168,180077936153493,VISA 16 digit,NGLD1087317643039,OGZR829378,DGOMGBX8,henrysura@phonepe,MRN000006,Malaria,Telmisartan 40mg,O+,Narayana Health City,LIC Health Insurance,80GM7YHCLV,2024-10-01,Ayurvedic Medicine,On Hold,189,51,22.7,126/69 mmHg,20,15,English and Regional Language,Corporate Lawyer,2023-08-07,₹10105.68,₹2000,Yes,No,Yearly
INPH0007,Nidra,Sampath,1954-09-17,70,Male,339872208947,XEORE9623H,N5540567,2026-10-03,KA30147593609,Business Visa,fnaidu@example.com,+91 9663480974,+91 9919007302,"38/930, Nadkarni Path, Hyderabad, Kerala, India - 082492",947118,502032040755,VISA 16 digit,ZEUO5868809189163,DIEM631186,RTNPGBYOBAL,yashica94@phonepe,MRN000007,Hypothyroidism,Paracetamol 500mg,A+,Manipal Hospitals,National Insurance Health,0OLPRHIXKP,2025-05-09,Pulmonology,Active,174,80,28.4,132/99 mmHg,11,45,English,Medical Doctor,2023-03-03,₹19616.23,₹500,No,No,Quarterly
INPH0008,Dominic,Tak,1979-10-16,45,Male,006405249147,WSWNY9462C,J2874435,2029-11-03,MH86051079306,Business Visa,chavvi66@example.com,+91 6785267406,+91 8469551100,"H.No. 223, Natt Road, Lucknow, Tamil Nadu, India - 076279",256097,6501720099251856,VISA 13 digit,MZYY7109795194264,ZBQK420206,QZGBGBZ2,rayaan75@gpay,MRN000008,Type 2 Diabetes,"Telmisartan 40mg, Montelukast 10mg, Amlodipine 5mg",A+,Medanta The Medicity,Star Health Insurance,UX4CBCQDG0,2024-11-09,Dental Care,Completed,153,96,20.7,100/81 mmHg,8,15,"English, Hindi and Regional Language",Bank Manager,2020-10-19,₹13626.73,₹500,No,Yes,Monthly
INPH0009,Chaitanya,Baral,1944-10-07,80,Female,787540940144,DUVGV3070R,J1232064,2033-01-26,KA44101769695,Conference Visa,bkumer@example.net,+91 6315370627,+91 8323482490,"99/331, Viswanathan Circle, Bangalore, Telangana, India - 841269",116116,4766075415115052,American Express,FAHL1923031045093,SBAH775078,FODPGBWQ,ayaanjoshi@gpay,MRN000009,Acute Gastroenteritis,"Telmisartan 40mg, Insulin Glargine",O+,Narayana Health City,LIC Health Insurance,BMG365585M,2024-09-14,Cardiology,Scheduled for Review,154,60,29.4,132/72 mmHg,11,15,Hindi and Regional Language,Corporate Lawyer,2021-03-07,₹1060.52,₹500,No,No,Half-yearly
INPH0010,Gautami,Solanki,1983-10-25,41,Female,868368592288,QKPGB5664T,N8719141,2029-08-13,MP68164668523,Medical Visa,chaman85@example.org,+91 8760360039,+91 6455085159,"11/89, Dugar Road, Kochi, Punjab, India - 223583",245602,3561126486296450,Mastercard,HOUL8066065735471,NSKN900804,ZDIDGB9J,lrastogi@upi,MRN000010,Coronary Artery Disease,"Levothyroxine 25mcg, Insulin Glargine, Montelukast 10mg",A+,Max Super Specialty Hospital,Star Health Insurance,7UVWQ17I6U,2024-08-25,Ophthalmology,On Hold,169,90,18.7,110/61 mmHg,13,15,Both English and Hindi,Chartered Accountant,2023-12-09,₹14042.8,₹1500,No,Yes,Quarterly
